"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "Shell Script", "TypeScript", "PowerShell", "JSON", "XML", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\ADMIN\Desktop\residentone-workflow\.eslintrc.json", "JSON with Comments", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ADMIN\Desktop\residentone-workflow\ACTIVITIES_TESTING_GUIDE.md", "Markdown", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 214
"c:\Users\ADMIN\Desktop\residentone-workflow\AI-SUMMARY-DOCS.md", "Markdown", 0, 0, 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 378
"c:\Users\ADMIN\Desktop\residentone-workflow\AI-SUMMARY-IMPLEMENTATION.md", "Markdown", 0, 0, 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 356
"c:\Users\ADMIN\Desktop\residentone-workflow\BACKUP_COVERAGE.md", "Markdown", 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 225
"c:\Users\ADMIN\Desktop\residentone-workflow\BACKUP_DOWNLOAD_FIX.md", "Markdown", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 199
"c:\Users\ADMIN\Desktop\residentone-workflow\BACKUP_TESTING_GUIDE.md", "Markdown", 0, 0, 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 310
"c:\Users\ADMIN\Desktop\residentone-workflow\BACKUP_VERIFICATION_REPORT.md", "Markdown", 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 283
"c:\Users\ADMIN\Desktop\residentone-workflow\BLOB_TO_DROPBOX_MIGRATION.md", "Markdown", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 106
"c:\Users\ADMIN\Desktop\residentone-workflow\CHANGELOG.md", "Markdown", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 103
"c:\Users\ADMIN\Desktop\residentone-workflow\CHAT_IMAGE_ATTACHMENTS_GUIDE.md", "Markdown", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 215
"c:\Users\ADMIN\Desktop\residentone-workflow\CHAT_IMAGE_FLOW.md", "Markdown", 0, 0, 315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 344
"c:\Users\ADMIN\Desktop\residentone-workflow\CHAT_IMAGE_TEST.md", "Markdown", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 175
"c:\Users\ADMIN\Desktop\residentone-workflow\CHAT_NOTIFICATIONS.md", "Markdown", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 195
"c:\Users\ADMIN\Desktop\residentone-workflow\CHAT_UI_IMPROVEMENTS.md", "Markdown", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 178
"c:\Users\ADMIN\Desktop\residentone-workflow\CLIENT_PROGRESS_SETUP.md", "Markdown", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 126
"c:\Users\ADMIN\Desktop\residentone-workflow\CLOUD_BACKUPS_FIX_SUMMARY.md", "Markdown", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 192
"c:\Users\ADMIN\Desktop\residentone-workflow\DATABASE-PROTECTION.md", "Markdown", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 132
"c:\Users\ADMIN\Desktop\residentone-workflow\DATABASE_COMPARISON_REPORT.md", "Markdown", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 260
"c:\Users\ADMIN\Desktop\residentone-workflow\DATABASE_ERROR_RESOLVED.md", "Markdown", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 147
"c:\Users\ADMIN\Desktop\residentone-workflow\DATABASE_SYNCED_TO_PRODUCTION.md", "Markdown", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 187
